food,text
pork backribs raw,"Pork backribs raw provides 2399 kcal per 100 grams. It contains 174.9 g of total fat (61.9 g saturated, 73.5 g monounsaturated, and 28.7 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 204.2 g of protein, and 0.0 g of dietary fiber. It has 739.0 mg of cholesterol, 0.9 g of sodium, and 679.8 g of water. Vitamin content per 100g: A = 0.035 mg, B1 (Thiamine) = 4.9 mg, B2 (Riboflavin) = 3.3 mg, B3 (Niacin) = 72.6 mg, B5 (Pantothenic Acid) = 8.8 mg, B6 = 4.5 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.028 mg, Vitamin C = 0.0 mg, Vitamin D = 0.025 mg, Vitamin E = 2.6 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 332.0 mg, Copper = 1.0 mg, Iron = 8.1 mg, Magnesium = 171.4 mg, Manganese = 0.085 mg, Phosphorus = 1649.3 mg, Potassium = 2645.4 mg, Selenium = 0.3 mg, and Zinc = 27.2 mg. The overall nutrition density score is 719.224. "
pork spareribs cooked,"Pork spareribs cooked provides 703 kcal per 100 grams. It contains 53.6 g of total fat (19.7 g saturated, 23.9 g monounsaturated, and 4.8 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 51.4 g of protein, and 0.0 g of dietary fiber. It has 214.2 mg of cholesterol, 0.2 g of sodium, and 71.5 g of water. Vitamin content per 100g: A = 0.065 mg, B1 (Thiamine) = 0.7 mg, B2 (Riboflavin) = 0.7 mg, B3 (Niacin) = 9.7 mg, B5 (Pantothenic Acid) = 1.3 mg, B6 = 0.6 mg, B11 (Folic Acid) = 0.022 mg, B12 = 0.016 mg, Vitamin C = 0.0 mg, Vitamin D = 0.043 mg, Vitamin E = 0.6 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 83.2 mg, Copper = 0.3 mg, Iron = 3.3 mg, Magnesium = 42.5 mg, Manganese = 0.083 mg, Phosphorus = 462.0 mg, Potassium = 566.4 mg, Selenium = 0.092 mg, and Zinc = 8.1 mg. The overall nutrition density score is 191.598. "
pork stomach cooked,"Pork stomach cooked provides 44 kcal per 100 grams. It contains 2.1 g of total fat (0.8 g saturated, 0.6 g monounsaturated, and 0.2 g polyunsaturated), 0.029 g of carbohydrates with 0.0 g of sugars, 6.1 g of protein, and 0.0 g of dietary fiber. It has 89.4 mg of cholesterol, 0.035 g of sodium, and 20.0 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 0.08 mg, B2 (Riboflavin) = 0.05 mg, B3 (Niacin) = 0.4 mg, B5 (Pantothenic Acid) = 0.2 mg, B6 = 0.038 mg, B11 (Folic Acid) = 0.09 mg, B12 = 0.067 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.087 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 4.2 mg, Copper = 0.048 mg, Iron = 0.3 mg, Magnesium = 4.2 mg, Manganese = 0.015 mg, Phosphorus = 36.5 mg, Potassium = 24.1 mg, Selenium = 0.077 mg, and Zinc = 0.8 mg. The overall nutrition density score is 12.779. "
honey smoked ham cooked,"Honey smoked ham cooked provides 67 kcal per 100 grams. It contains 1.3 g of total fat (0.6 g saturated, 0.9 g monounsaturated, and 0.2 g polyunsaturated), 4.0 g of carbohydrates with 0.0 g of sugars, 9.9 g of protein, and 0.0 g of dietary fiber. It has 12.1 mg of cholesterol, 0.5 g of sodium, and 38.5 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 0.2 mg, B2 (Riboflavin) = 0.097 mg, B3 (Niacin) = 1.3 mg, B5 (Pantothenic Acid) = 0.1 mg, B6 = 0.1 mg, B11 (Folic Acid) = 0.013 mg, B12 = 0.091 mg, Vitamin C = 0.3 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 3.3 mg, Copper = 0.039 mg, Iron = 0.2 mg, Magnesium = 4.4 mg, Manganese = 0.096 mg, Phosphorus = 211.2 mg, Potassium = 90.8 mg, Selenium = 0.099 mg, and Zinc = 0.5 mg. The overall nutrition density score is 19.0. "
boston butt steak raw,"Boston butt steak raw provides 844 kcal per 100 grams. It contains 56.1 g of total fat (19.7 g saturated, 23.6 g monounsaturated, and 7.2 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 79.0 g of protein, and 0.0 g of dietary fiber. It has 281.2 mg of cholesterol, 0.3 g of sodium, and 313.8 g of water. Vitamin content per 100g: A = 0.051 mg, B1 (Thiamine) = 2.4 mg, B2 (Riboflavin) = 1.6 mg, B3 (Niacin) = 19.2 mg, B5 (Pantothenic Acid) = 6.6 mg, B6 = 2.2 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.088 mg, Vitamin C = 0.0 mg, Vitamin D = 0.028 mg, Vitamin E = 1.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 72.6 mg, Copper = 0.4 mg, Iron = 5.1 mg, Magnesium = 90.7 mg, Manganese = 0.098 mg, Phosphorus = 861.8 mg, Potassium = 1442.4 mg, Selenium = 0.1 mg, and Zinc = 14.0 mg. The overall nutrition density score is 212.848. "
pork sirloin chops cooked,"Pork sirloin chops cooked provides 140 kcal per 100 grams. It contains 4.5 g of total fat (1.5 g saturated, 1.8 g monounsaturated, and 0.8 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 23.3 g of protein, and 0.0 g of dietary fiber. It has 65.6 mg of cholesterol, 0.001 g of sodium, and 53.9 g of water. Vitamin content per 100g: A = 0.075 mg, B1 (Thiamine) = 0.075 mg, B2 (Riboflavin) = 0.07 mg, B3 (Niacin) = 0.2 mg, B5 (Pantothenic Acid) = 6.4 mg, B6 = 0.8 mg, B11 (Folic Acid) = 0.5 mg, B12 = 0.0 mg, Vitamin C = 0.4 mg, Vitamin D = 0.0 mg, Vitamin E = 0.01 mg, Vitamin K = 0.1 mg. Mineral content per 100g: Calcium = 0.0 mg, Copper = 9.0 mg, Iron = 0.012 mg, Magnesium = 0.6 mg, Manganese = 20.5 mg, Phosphorus = 0.073 mg, Potassium = 238.6 mg, Selenium = 337.0 mg, and Zinc = 0.043 mg. The overall nutrition density score is 28.239. "
pork country style ribs raw,"Pork country style ribs raw provides 242 kcal per 100 grams. It contains 15.1 g of total fat (3.0 g saturated, 3.5 g monounsaturated, and 1.2 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 24.8 g of protein, and 0.0 g of dietary fiber. It has 94.7 mg of cholesterol, 0.061 g of sodium, and 87.3 g of water. Vitamin content per 100g: A = 0.009 mg, B1 (Thiamine) = 0.5 mg, B2 (Riboflavin) = 0.3 mg, B3 (Niacin) = 3.9 mg, B5 (Pantothenic Acid) = 2.1 mg, B6 = 0.7 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.055 mg, Vitamin C = 0.0 mg, Vitamin D = 0.028 mg, Vitamin E = 0.3 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 28.2 mg, Copper = 0.023 mg, Iron = 1.1 mg, Magnesium = 26.9 mg, Manganese = 0.072 mg, Phosphorus = 247.0 mg, Potassium = 407.0 mg, Selenium = 0.048 mg, and Zinc = 3.6 mg. The overall nutrition density score is 69.223. "
ham patties,"Ham patties provides 205 kcal per 100 grams. It contains 18.3 g of total fat (6.6 g saturated, 8.6 g monounsaturated, and 2.0 g polyunsaturated), 1.1 g of carbohydrates with 0.0 g of sugars, 8.3 g of protein, and 0.0 g of dietary fiber. It has 45.5 mg of cholesterol, 0.7 g of sodium, and 35.4 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 0.3 mg, B2 (Riboflavin) = 0.1 mg, B3 (Niacin) = 2.0 mg, B5 (Pantothenic Acid) = 0.2 mg, B6 = 0.1 mg, B11 (Folic Acid) = 0.061 mg, B12 = 0.084 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 5.2 mg, Copper = 0.039 mg, Iron = 0.7 mg, Magnesium = 6.5 mg, Manganese = 0.064 mg, Phosphorus = 96.9 mg, Potassium = 155.4 mg, Selenium = 0.075 mg, and Zinc = 1.0 mg. The overall nutrition density score is 33.6. "
pork feet cooked,"Pork feet cooked provides 67 kcal per 100 grams. It contains 4.5 g of total fat (1.2 g saturated, 2.3 g monounsaturated, and 0.4 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 6.2 g of protein, and 0.0 g of dietary fiber. It has 30.3 mg of cholesterol, 0.046 g of sodium, and 17.8 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 0.08 mg, B2 (Riboflavin) = 0.029 mg, B3 (Niacin) = 0.2 mg, B5 (Pantothenic Acid) = 0.047 mg, B6 = 0.081 mg, B11 (Folic Acid) = 0.014 mg, B12 = 0.048 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.054 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 0.0 mg, Copper = 0.014 mg, Iron = 0.3 mg, Magnesium = 1.4 mg, Manganese = 0.017 mg, Phosphorus = 23.2 mg, Potassium = 9.3 mg, Selenium = 0.04 mg, and Zinc = 0.3 mg. The overall nutrition density score is 11.0. "
ground pork cooked,"Ground pork cooked provides 930 kcal per 100 grams. It contains 65.0 g of total fat (24.2 g saturated, 29.0 g monounsaturated, and 5.9 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 80.4 g of protein, and 0.0 g of dietary fiber. It has 294.2 mg of cholesterol, 0.2 g of sodium, and 165.1 g of water. Vitamin content per 100g: A = 0.01 mg, B1 (Thiamine) = 2.2 mg, B2 (Riboflavin) = 0.7 mg, B3 (Niacin) = 13.2 mg, B5 (Pantothenic Acid) = 1.6 mg, B6 = 1.2 mg, B11 (Folic Acid) = 0.005 mg, B12 = 0.058 mg, Vitamin C = 2.2 mg, Vitamin D = 0.066 mg, Vitamin E = 0.7 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 68.9 mg, Copper = 0.1 mg, Iron = 4.0 mg, Magnesium = 75.1 mg, Manganese = 0.081 mg, Phosphorus = 707.4 mg, Potassium = 1133.1 mg, Selenium = 0.1 mg, and Zinc = 10.0 mg. The overall nutrition density score is 220.513. "
pork centre loin chops cooked,"Pork centre loin chops cooked provides 328 kcal per 100 grams. It contains 17.4 g of total fat (5.5 g saturated, 6.6 g monounsaturated, and 2.1 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 40.2 g of protein, and 0.0 g of dietary fiber. It has 131.9 mg of cholesterol, 0.065 g of sodium, and 97.8 g of water. Vitamin content per 100g: A = 0.2 mg, B1 (Thiamine) = 0.021 mg, B2 (Riboflavin) = 0.059 mg, B3 (Niacin) = 0.4 mg, B5 (Pantothenic Acid) = 12.8 mg, B6 = 1.0 mg, B11 (Folic Acid) = 0.9 mg, B12 = 0.0 mg, Vitamin C = 1.1 mg, Vitamin D = 0.0 mg, Vitamin E = 0.089 mg, Vitamin K = 0.2 mg. Mineral content per 100g: Calcium = 0.0 mg, Copper = 37.7 mg, Iron = 0.1 mg, Magnesium = 1.2 mg, Manganese = 39.3 mg, Phosphorus = 0.005 mg, Potassium = 345.4 mg, Selenium = 540.1 mg, and Zinc = 0.07 mg. The overall nutrition density score is 59.0. "
pork leg cap steak cooked,"Pork leg cap steak cooked provides 307 kcal per 100 grams. It contains 8.6 g of total fat (2.6 g saturated, 3.7 g monounsaturated, and 1.1 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 53.5 g of protein, and 0.0 g of dietary fiber. It has 157.1 mg of cholesterol, 0.1 g of sodium, and 133.3 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 0.9 mg, B2 (Riboflavin) = 0.8 mg, B3 (Niacin) = 15.9 mg, B5 (Pantothenic Acid) = 1.5 mg, B6 = 0.8 mg, B11 (Folic Acid) = 0.071 mg, B12 = 0.068 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.2 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 13.6 mg, Copper = 0.1 mg, Iron = 1.9 mg, Magnesium = 44.6 mg, Manganese = 0.061 mg, Phosphorus = 428.7 mg, Potassium = 710.0 mg, Selenium = 0.035 mg, and Zinc = 8.0 mg. The overall nutrition density score is 77.6. "
pork blade chops raw,"Pork blade chops raw provides 376 kcal per 100 grams. It contains 15.4 g of total fat (5.2 g saturated, 6.1 g monounsaturated, and 2.1 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 55.8 g of protein, and 0.0 g of dietary fiber. It has 155.2 mg of cholesterol, 0.2 g of sodium, and 191.6 g of water. Vitamin content per 100g: A = 0.039 mg, B1 (Thiamine) = 1.4 mg, B2 (Riboflavin) = 0.9 mg, B3 (Niacin) = 18.7 mg, B5 (Pantothenic Acid) = 2.9 mg, B6 = 1.2 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.055 mg, Vitamin C = 0.0 mg, Vitamin D = 0.067 mg, Vitamin E = 0.5 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 78.9 mg, Copper = 0.2 mg, Iron = 1.9 mg, Magnesium = 47.3 mg, Manganese = 0.059 mg, Phosphorus = 594.4 mg, Potassium = 823.2 mg, Selenium = 0.038 mg, and Zinc = 7.2 mg. The overall nutrition density score is 152.089. "
pork tenderloin raw,"Pork tenderloin raw provides 606 kcal per 100 grams. It contains 17.8 g of total fat (6.0 g saturated, 6.8 g monounsaturated, and 2.8 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 104.3 g of protein, and 0.0 g of dietary fiber. It has 328.3 mg of cholesterol, 0.3 g of sodium, and 378.6 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 5.0 mg, B2 (Riboflavin) = 1.7 mg, B3 (Niacin) = 33.4 mg, B5 (Pantothenic Acid) = 4.2 mg, B6 = 3.9 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.023 mg, Vitamin C = 0.0 mg, Vitamin D = 0.075 mg, Vitamin E = 1.1 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 30.3 mg, Copper = 0.4 mg, Iron = 4.9 mg, Magnesium = 136.4 mg, Manganese = 0.098 mg, Phosphorus = 1227.2 mg, Potassium = 1984.7 mg, Selenium = 0.2 mg, and Zinc = 9.4 mg. The overall nutrition density score is 157.3. "
pork sirloin chops raw,"Pork sirloin chops raw provides 1090 kcal per 100 grams. It contains 23.3 g of total fat (8.2 g saturated, 9.9 g monounsaturated, and 3.7 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 205.5 g of protein, and 0.0 g of dietary fiber. It has 567.6 mg of cholesterol, 0.6 g of sodium, and 669.4 g of water. Vitamin content per 100g: A = 0.023 mg, B1 (Thiamine) = 5.5 mg, B2 (Riboflavin) = 2.3 mg, B3 (Niacin) = 66.2 mg, B5 (Pantothenic Acid) = 6.6 mg, B6 = 5.5 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.083 mg, Vitamin C = 0.0 mg, Vitamin D = 0.005 mg, Vitamin E = 1.5 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 81.1 mg, Copper = 0.6 mg, Iron = 5.0 mg, Magnesium = 207.2 mg, Manganese = 0.094 mg, Phosphorus = 2261.5 mg, Potassium = 3189.5 mg, Selenium = 0.3 mg, and Zinc = 15.5 mg. The overall nutrition density score is 314.931. "
pork leg cap steak raw,"Pork leg cap steak raw provides 284 kcal per 100 grams. It contains 7.8 g of total fat (2.7 g saturated, 3.9 g monounsaturated, and 1.2 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 50.0 g of protein, and 0.0 g of dietary fiber. It has 145.5 mg of cholesterol, 0.2 g of sodium, and 173.7 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 1.2 mg, B2 (Riboflavin) = 1.0 mg, B3 (Niacin) = 16.4 mg, B5 (Pantothenic Acid) = 1.9 mg, B6 = 1.3 mg, B11 (Folic Acid) = 0.004 mg, B12 = 0.072 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.2 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 16.2 mg, Copper = 0.1 mg, Iron = 1.9 mg, Magnesium = 50.8 mg, Manganese = 0.069 mg, Phosphorus = 478.2 mg, Potassium = 843.2 mg, Selenium = 0.009 mg, and Zinc = 7.3 mg. The overall nutrition density score is 75.9. "
pork carcass raw,"Pork carcass raw provides 1706 kcal per 100 grams. It contains 159.1 g of total fat (56.4 g saturated, 72.3 g monounsaturated, and 17.2 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 63.1 g of protein, and 0.0 g of dietary fiber. It has 335.7 mg of cholesterol, 0.2 g of sodium, and 226.0 g of water. Vitamin content per 100g: A = 0.007 mg, B1 (Thiamine) = 2.7 mg, B2 (Riboflavin) = 0.9 mg, B3 (Niacin) = 17.4 mg, B5 (Pantothenic Acid) = 2.4 mg, B6 = 1.3 mg, B11 (Folic Acid) = 0.002 mg, B12 = 0.096 mg, Vitamin C = 1.8 mg, Vitamin D = 0.0 mg, Vitamin E = 1.3 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 86.2 mg, Copper = 0.2 mg, Iron = 3.1 mg, Magnesium = 59.0 mg, Manganese = 0.081 mg, Phosphorus = 703.1 mg, Potassium = 1147.6 mg, Selenium = 0.1 mg, and Zinc = 7.2 mg. The overall nutrition density score is 313.327. "
pork splean cooked,"Pork splean cooked provides 446 kcal per 100 grams. It contains 9.6 g of total fat (3.2 g saturated, 2.6 g monounsaturated, and 0.7 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 84.3 g of protein, and 0.0 g of dietary fiber. It has 1507.0 mg of cholesterol, 0.3 g of sodium, and 199.4 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 0.4 mg, B2 (Riboflavin) = 0.8 mg, B3 (Niacin) = 17.8 mg, B5 (Pantothenic Acid) = 2.7 mg, B6 = 0.2 mg, B11 (Folic Acid) = 0.002 mg, B12 = 0.071 mg, Vitamin C = 34.7 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 38.9 mg, Copper = 0.4 mg, Iron = 66.5 mg, Magnesium = 44.9 mg, Manganese = 0.1 mg, Phosphorus = 846.2 mg, Potassium = 678.7 mg, Selenium = 0.1 mg, and Zinc = 10.6 mg. The overall nutrition density score is 234.0. "
chopped ham,"Chopped ham provides 50 kcal per 100 grams. It contains 2.9 g of total fat (1.0 g saturated, 1.4 g monounsaturated, and 0.4 g polyunsaturated), 1.2 g of carbohydrates with 0.0 g of sugars, 4.6 g of protein, and 0.0 g of dietary fiber. It has 16.5 mg of cholesterol, 0.3 g of sodium, and 18.3 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 0.2 mg, B2 (Riboflavin) = 0.035 mg, B3 (Niacin) = 1.1 mg, B5 (Pantothenic Acid) = 0.0 mg, B6 = 0.01 mg, B11 (Folic Acid) = 0.008 mg, B12 = 0.006 mg, Vitamin C = 0.0 mg, Vitamin D = 0.025 mg, Vitamin E = 0.087 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 2.0 mg, Copper = 0.049 mg, Iron = 0.2 mg, Magnesium = 4.5 mg, Manganese = 0.0 mg, Phosphorus = 43.4 mg, Potassium = 89.3 mg, Selenium = 0.098 mg, and Zinc = 0.5 mg. The overall nutrition density score is 10.9. "
pork centre loin chops raw,"Pork centre loin chops raw provides 338 kcal per 100 grams. It contains 18.0 g of total fat (6.0 g saturated, 7.1 g monounsaturated, and 2.4 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 41.2 g of protein, and 0.0 g of dietary fiber. It has 137.3 mg of cholesterol, 0.1 g of sodium, and 138.7 g of water. Vitamin content per 100g: A = 0.048 mg, B1 (Thiamine) = 1.0 mg, B2 (Riboflavin) = 0.4 mg, B3 (Niacin) = 13.2 mg, B5 (Pantothenic Acid) = 1.4 mg, B6 = 1.4 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.02 mg, Vitamin C = 0.0 mg, Vitamin D = 0.062 mg, Vitamin E = 0.2 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 37.8 mg, Copper = 0.1 mg, Iron = 1.3 mg, Magnesium = 49.8 mg, Manganese = 0.096 mg, Phosphorus = 415.9 mg, Potassium = 682.6 mg, Selenium = 0.052 mg, and Zinc = 3.5 mg. The overall nutrition density score is 98.301. "
pork blade chops cooked,"Pork blade chops cooked provides 265 kcal per 100 grams. It contains 14.6 g of total fat (4.3 g saturated, 5.1 g monounsaturated, and 1.9 g polyunsaturated), 1.1 g of carbohydrates with 0.0 g of sugars, 32.4 g of protein, and 0.0 g of dietary fiber. It has 100.9 mg of cholesterol, 0.072 g of sodium, and 81.4 g of water. Vitamin content per 100g: A = 0.069 mg, B1 (Thiamine) = 0.8 mg, B2 (Riboflavin) = 0.3 mg, B3 (Niacin) = 10.1 mg, B5 (Pantothenic Acid) = 1.5 mg, B6 = 0.7 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.068 mg, Vitamin C = 0.0 mg, Vitamin D = 0.028 mg, Vitamin E = 0.3 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 10.5 mg, Copper = 0.1 mg, Iron = 1.2 mg, Magnesium = 31.4 mg, Manganese = 0.076 mg, Phosphorus = 355.0 mg, Potassium = 533.2 mg, Selenium = 0.085 mg, and Zinc = 3.0 mg. The overall nutrition density score is 59.882. "
boston butt steak cooked,"Boston butt steak cooked provides 494 kcal per 100 grams. It contains 32.7 g of total fat (12.2 g saturated, 14.8 g monounsaturated, and 3.8 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 46.4 g of protein, and 0.0 g of dietary fiber. It has 181.3 mg of cholesterol, 0.1 g of sodium, and 101.7 g of water. Vitamin content per 100g: A = 0.066 mg, B1 (Thiamine) = 0.9 mg, B2 (Riboflavin) = 0.7 mg, B3 (Niacin) = 7.2 mg, B5 (Pantothenic Acid) = 2.4 mg, B6 = 0.8 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.064 mg, Vitamin C = 0.0 mg, Vitamin D = 0.051 mg, Vitamin E = 0.2 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 48.1 mg, Copper = 0.2 mg, Iron = 3.2 mg, Magnesium = 42.6 mg, Manganese = 0.063 mg, Phosphorus = 384.8 mg, Potassium = 564.3 mg, Selenium = 0.04 mg, and Zinc = 9.0 mg. The overall nutrition density score is 130.498. "
pork meat raw,"Pork meat raw provides 179 kcal per 100 grams. It contains 18.6 g of total fat (6.2 g saturated, 7.9 g monounsaturated, and 3.7 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 2.6 g of protein, and 0.0 g of dietary fiber. It has 20.4 mg of cholesterol, 0.021 g of sodium, and 7.0 g of water. Vitamin content per 100g: A = 0.094 mg, B1 (Thiamine) = 0.05 mg, B2 (Riboflavin) = 0.059 mg, B3 (Niacin) = 0.7 mg, B5 (Pantothenic Acid) = 0.1 mg, B6 = 0.07 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.086 mg, Vitamin C = 0.0 mg, Vitamin D = 0.055 mg, Vitamin E = 0.1 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 4.0 mg, Copper = 0.076 mg, Iron = 0.07 mg, Magnesium = 1.7 mg, Manganese = 0.0 mg, Phosphorus = 23.8 mg, Potassium = 94.2 mg, Selenium = 0.046 mg, and Zinc = 0.2 mg. The overall nutrition density score is 25.261. "
pork top loin chops raw,"Pork top loin chops raw provides 287 kcal per 100 grams. It contains 12.8 g of total fat (4.5 g saturated, 5.5 g monounsaturated, and 1.6 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 39.9 g of protein, and 0.0 g of dietary fiber. It has 124.0 mg of cholesterol, 0.099 g of sodium, and 130.2 g of water. Vitamin content per 100g: A = 0.074 mg, B1 (Thiamine) = 1.2 mg, B2 (Riboflavin) = 0.3 mg, B3 (Niacin) = 14.8 mg, B5 (Pantothenic Acid) = 1.3 mg, B6 = 1.3 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.087 mg, Vitamin C = 0.0 mg, Vitamin D = 0.089 mg, Vitamin E = 0.2 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 13.0 mg, Copper = 0.1 mg, Iron = 0.9 mg, Magnesium = 48.1 mg, Manganese = 0.02 mg, Phosphorus = 418.1 mg, Potassium = 690.1 mg, Selenium = 0.096 mg, and Zinc = 2.9 mg. The overall nutrition density score is 66.684. "
pork blade steak braised,"Pork blade steak braised provides 694 kcal per 100 grams. It contains 44.7 g of total fat (16.6 g saturated, 20.1 g monounsaturated, and 5.3 g polyunsaturated), 0.087 g of carbohydrates with 0.0 g of sugars, 68.2 g of protein, and 0.0 g of dietary fiber. It has 256.1 mg of cholesterol, 0.4 g of sodium, and 148.2 g of water. Vitamin content per 100g: A = 0.4 mg, B1 (Thiamine) = 0.0 mg, B2 (Riboflavin) = 0.1 mg, B3 (Niacin) = 0.9 mg, B5 (Pantothenic Acid) = 9.5 mg, B6 = 3.5 mg, B11 (Folic Acid) = 1.1 mg, B12 = 0.0 mg, Vitamin C = 1.2 mg, Vitamin D = 0.0 mg, Vitamin E = 0.032 mg, Vitamin K = 0.3 mg. Mineral content per 100g: Calcium = 0.0 mg, Copper = 71.3 mg, Iron = 0.5 mg, Magnesium = 4.5 mg, Manganese = 52.8 mg, Phosphorus = 0.06 mg, Potassium = 599.3 mg, Selenium = 976.8 mg, and Zinc = 0.1 mg. The overall nutrition density score is 115.063. "
pork boston steaks cooked,"Pork boston steaks cooked provides 438 kcal per 100 grams. It contains 28.1 g of total fat (10.1 g saturated, 12.5 g monounsaturated, and 2.5 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 43.2 g of protein, and 0.0 g of dietary fiber. It has 160.6 mg of cholesterol, 0.1 g of sodium, and 96.8 g of water. Vitamin content per 100g: A = 0.06 mg, B1 (Thiamine) = 1.2 mg, B2 (Riboflavin) = 0.7 mg, B3 (Niacin) = 6.9 mg, B5 (Pantothenic Acid) = 1.2 mg, B6 = 0.5 mg, B11 (Folic Acid) = 0.096 mg, B12 = 0.046 mg, Vitamin C = 0.5 mg, Vitamin D = 0.091 mg, Vitamin E = 0.5 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 60.8 mg, Copper = 0.003 mg, Iron = 2.4 mg, Magnesium = 35.5 mg, Manganese = 0.037 mg, Phosphorus = 354.9 mg, Potassium = 550.9 mg, Selenium = 0.06 mg, and Zinc = 7.6 mg. The overall nutrition density score is 135.049. "
